"Subject" "StartTime" "Range" "RealAngle" "Error" "ResponseAngle" "RealTime"
1 100 200 344 -15.8424573 328.157543 628
1 100 200 189 -32.1985905 156.801409 702
1 100 200 230 -31.7273617 198.272638 666
1 100 200 186 -55.3987054 130.601295 694
1 100 200 196 -34.4349488 161.565051 690
1 100 200 280 -53.6677801 226.33222 643
1 100 200 274 -36.9052429 237.094757 662
1 100 200 267 -40.025066 226.974934 783
1 100 200 59 -24.3048465 34.6951535 667
1 100 200 291 -38.102729 252.897271 742
1 100 200 316 -13.2647737 302.735226 734
1 100 200 295 -43.4349488 251.565051 632
1 50 300 107 -30.2405199 76.7594801 839
1 50 300 149 -35.037511 113.962489 848
1 50 300 93 -32.0546041 60.9453959 738
1 50 300 345 -17.4711923 327.528808 698
1 50 300 149 -42.8107937 106.189206 737
1 50 300 59 -48.6951535 10.3048465 734
1 50 300 288 -24.1155036 263.884496 636
1 50 300 358 -20.5205656 337.479434 608
1 50 300 63 -30.9946168 32.0053832 601
1 50 300 230 -37.9052429 192.094757 694
1 100 200 240 -48.6900675 191.309932 694
1 100 200 18 -6.69006753 11.3099325 713
1 100 200 138 -33.9637565 104.036243 774
1 100 200 174 -50.3099325 123.690068 675
1 100 200 108 -41.1985905 66.8014095 655
1 100 200 126 -36 90 760
1 100 200 65 -41.037511 23.962489 676
1 100 200 166 -31 135 638
1 100 200 270 -63.4349488 206.565051 786
1 100 200 155 -35.2551187 119.744881 764
1 100 200 39 -22.3007558 16.6992442 744
1 100 200 262 -67.9637565 194.036243 666
1 100 200 274 -53.3987054 220.601295 776
1 100 200 356 -28.4711923 327.528808 659
1 100 200 60 -45.9637565 14.0362435 793
1 100 200 83 -67.0546041 15.9453959 723
1 100 200 275 -55.1944289 219.805571 778
1 100 200 345 -20.5376778 324.462322 757
1 100 200 348 -14.5650512 333.434949 611
1 175 50 47 -38.8698976 8.13010235 678
1 175 50 259 -63.0546041 195.945396 707
1 175 50 209 -67.6598083 141.340192 710
1 175 50 311 -41 270 685
1 175 50 100 -10 90 707
1 175 50 120 -18.6900675 101.309932 717
1 175 50 206 -26 180 714
1 175 50 73 -39.3099325 33.6900675 677
1 175 50 257 -55.1985905 201.801409 694
1 175 50 65 -44.4439548 20.5560452 686
1 175 50 168 -44.3099325 123.690068 721
1 175 50 322 -36.0546041 285.945396 686
1 175 50 236 -56 180 700
1 175 50 240 -48.6900675 191.309932 681
1 175 50 204 -45.8014095 158.198591 697
1 175 50 155 -58.6598083 96.3401917 692
1 175 50 228 -33.9637565 194.036243 708
1 127 0 312 -26.0546041 285.945396 627
1 127 0 293 -23 270 627
1 127 0 157 -25.3664607 131.633539 627
1 127 0 160 -16.8698976 143.130102 627
1 127 0 333 -33.2551187 299.744881 627
1 127 0 293 -18.2363583 274.763642 627
1 127 0 253 -58.9637565 194.036243 627
1 127 0 66 -30.4623222 35.5376778 627
1 127 0 122 -23.8698976 98.1301024 627
1 127 0 209 -74 135 627
1 127 0 196 -42.5650512 153.434949 627
1 127 0 245 -46.5650512 198.434949 627
1 150 100 326 -32.8014095 293.198591 696
1 150 100 276 -59.1301024 216.869898 682
1 150 100 250 -55.9637565 194.036243 727
1 150 100 184 -49 135 734
1 150 100 251 -56.9637565 194.036243 702
1 150 100 120 -30 90 724
1 150 100 251 -49.1985905 201.801409 730
1 150 100 217 -44.1250163 172.874984 740
1 150 100 110 -38.4349488 71.5650512 677
1 132 0 333 -29.3099325 303.690068 632
1 132 0 349 -34 315 632
1 132 0 106 -16 90 632
1 132 0 176 -26.9637565 149.036243 632
1 132 0 306 -12.8014095 293.198591 632
1 132 0 298 -61.6900675 236.309932 632
1 132 0 221 -41 180 632
1 132 0 150 -30.2551187 119.744881 632
1 132 0 178 -61.4349488 116.565051 632
1 132 0 262 -48.3099325 213.690068 632
1 132 0 272 -37.5376778 234.462322 632
1 50 300 51 -43.8749837 7.12501635 566
1 50 300 312 -66.4439548 245.556045 618
1 50 300 103 -13 90 612
1 50 300 243 -56.6598083 186.340192 696
1 50 300 299 -47.4349488 251.565051 733
1 50 300 277 -28.8014095 248.198591 793
1 50 300 204 -69 135 813
1 50 300 353 -19.5650512 333.434949 809
1 50 300 271 -75.0546041 195.945396 665
1 50 300 237 -42.9637565 194.036243 653
1 175 50 176 -67.5650512 108.434949 725
1 175 50 40 -35.2363583 4.76364169 679
1 175 50 67 -48.5650512 18.4349488 723
1 175 50 144 -20.3099325 123.690068 678
1 175 50 342 -12.9637565 329.036243 678
1 175 50 176 -49.1301024 126.869898 699
1 175 50 137 -31.0546041 105.945396 686
1 175 50 231 -36.9637565 194.036243 701
1 175 50 88 -55.9946168 32.0053832 703
1 175 50 36 -29.6598083 6.34019175 703
1 175 50 120 -15.9637565 104.036243 680
1 175 50 105 -15 90 702
1 50 300 218 -54.6992442 163.300756 831
1 50 300 101 -25.0362435 75.9637565 642
1 50 300 185 -50 135 767
1 50 300 83 -29.8698976 53.1301024 788
1 50 300 57 -35.1985905 21.8014095 738
1 50 300 332 -23.3401917 308.659808 675
1 50 300 277 -58.3401917 218.659808 715
1 50 300 226 -31.9637565 194.036243 551
1 50 300 146 -11 135 665
1 50 300 125 -35 90 717
1 50 300 340 -18.6598083 321.340192 744
1 150 100 192 -38.5650512 153.434949 683
1 150 100 126 -36 90 748
1 150 100 161 -44.4349488 116.565051 731
1 150 100 241 -61 180 708
1 150 100 243 -48.9637565 194.036243 697
1 150 100 335 -20 315 733
1 150 100 345 -3.43494882 341.565051 665
1 150 100 222 -50.1301024 171.869898 714
1 150 100 49 -40.8698976 8.13010235 721
1 207 0 78 -51.4349488 26.5650512 707
1 207 0 180 -45 135 707
1 207 0 302 -32 270 707
1 207 0 167 -46.0362435 120.963757 707
1 207 0 304 -21.9052429 282.094757 707
1 207 0 212 -32 180 707
1 207 0 317 -32.9637565 284.036243 707
1 207 0 149 -23.4623222 125.537678 707
1 207 0 100 -24.0362435 75.9637565 707
1 207 0 179 -44 135 707
1 207 0 234 -39.9637565 194.036243 707
1 179 0 302 -32 270 679
1 179 0 314 -22.1985905 291.801409 679
1 179 0 247 -48.5650512 198.434949 679
1 179 0 307 -29.8749837 277.125016 679
1 179 0 85 -58.4349488 26.5650512 679
1 179 0 243 -44.5650512 198.434949 679
1 179 0 38 -29.8698976 8.13010235 679
1 179 0 112 -22 90 679
1 179 0 151 -27.3099325 123.690068 679
1 179 0 287 -17 270 679
1 179 0 62 -35.4349488 26.5650512 679
1 179 0 264 -47.1301024 216.869898 679
1 150 100 183 -56.1301024 126.869898 676
1 150 100 93 -36.6900675 56.3099325 725
1 150 100 332 -38.8014095 293.198591 692
1 150 100 195 -41.5650512 153.434949 722
1 150 100 26 -22.4236656 3.57633437 734
1 150 100 316 -36.5376778 279.462322 730
1 150 100 83 -26.0238676 56.9761324 721
1 150 100 195 -41.5650512 153.434949 742
1 150 100 314 -39.6012946 274.398705 674
1 150 100 302 -28.6335393 273.366461 729
1 150 100 131 -22.5650512 108.434949 677
1 150 100 151 -27.3099325 123.690068 735
1 150 100 331 -16 315 723
1 150 100 335 -27.1250163 307.874984 708
1 150 100 258 -59.5650512 198.434949 679
1 150 100 126 -36 90 732
1 150 100 226 -46 180 706
1 150 100 276 -65.0362435 210.963757 699
1 150 100 219 -57.4349488 161.565051 750
1 150 100 100 -36.5650512 63.4349488 683
1 175 50 164 -38.4623222 125.537678 721
1 175 50 174 -57.4349488 116.565051 682
1 175 50 358 -19.8014095 338.198591 705
1 175 50 139 -34.9637565 104.036243 699
1 175 50 163 -46.4349488 116.565051 689
1 175 50 260 -56.8014095 203.198591 713
1 175 50 202 -67 135 689
1 175 50 85 -44.3987054 40.6012946 697
1 175 50 101 -44.6900675 56.3099325 682
1 175 50 114 -24 90 709
1 100 200 64 -42.1985905 21.8014095 614
1 100 200 50 -35.9637565 14.0362435 781
1 100 200 236 -37.5650512 198.434949 761
1 100 200 116 -26 90 678
1 100 200 219 -24.9637565 194.036243 643
1 100 200 221 -41 180 651
1 100 200 130 -28.6900675 101.309932 666
1 100 200 51 -41.5376778 9.46232221 726
1 100 200 263 -52.0362435 210.963757 611
1 100 200 298 -54.5650512 243.434949 718
1 100 200 117 -27 90 748
1 50 300 179 -55.3099325 123.690068 702
1 50 300 294 -45.8014095 248.198591 737
1 50 300 92 -55.1301024 36.8698976 609
1 50 300 256 -57.5650512 198.434949 706
1 50 300 187 -33.5650512 153.434949 575
